params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	71.75
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	68.22
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	73.96
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	70.06
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	73.18
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	72.41
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	72.40
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	72.01
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	73.96
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	73.70
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	72.00
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	72.53
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	71.87
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	72.40
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	70.70
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	71.61
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	70.57
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	68.10
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	71.49
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	67.98
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	73.70
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	70.98
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	73.83
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	70.06
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	72.92
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	73.30
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	73.44
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	70.97
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	72.39
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	74.87
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	71.88
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	72.53
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	70.44
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	72.00
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	69.66
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	67.84
