params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	85.28
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	69.25
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	91.18
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	77.34
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	93.58
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	82.23
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	95.19
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	84.18
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	97.37
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	90.82
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	98.32
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	91.69
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	98.40
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	93.88
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	98.40
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	96.64
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	98.40
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	98.98
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	83.96
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	66.47
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	88.55
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	70.54
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	94.46
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	82.94
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	96.79
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	88.04
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	97.96
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	89.79
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	98.47
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	92.63
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	98.69
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	92.57
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	98.76
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	97.81
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	98.61
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	99.05
