params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	66.38
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	57.77
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	77.71
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	65.75
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	83.52
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	69.08
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	86.28
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	81.07
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	83.20
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	79.81
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	85.65
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	81.35
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	85.04
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	80.77
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	84.15
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	78.91
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	82.92
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	78.91
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	64.51
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	53.48
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	75.25
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	65.45
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	78.93
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	72.14
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	84.10
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	76.77
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	81.36
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	78.01
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	81.65
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	80.80
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	80.10
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	81.94
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	80.10
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	80.46
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	82.23
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	78.61
