params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	82.05
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	74.92
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	89.47
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	85.17
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	89.48
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	86.62
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	85.75
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	85.19
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	87.75
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	85.19
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	87.77
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	87.46
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	87.77
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	90.02
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	88.60
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	88.31
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	89.20
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	88.01
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	80.33
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	79.21
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	88.61
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	82.33
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	90.04
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	84.90
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	85.48
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	85.48
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	88.05
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	88.60
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	88.33
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	91.16
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	89.47
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	89.17
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	86.60
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	88.32
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	86.06
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	88.61
