params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	66.67
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	66.00
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	94.67
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	88.67
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	96.00
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	84.00
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	96.00
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	95.33
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	95.33
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	96.00
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	95.33
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	95.33
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	95.33
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	96.67
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	96.00
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	96.00
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	96.00
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	94.00
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	66.67
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	64.67
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	94.67
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	87.33
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	96.00
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	90.67
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	96.00
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	95.33
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	95.33
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	96.00
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	95.33
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	94.00
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	95.33
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	92.67
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	95.33
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	94.67
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	96.00
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	94.67
