params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	65.43
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	68.29
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	75.19
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	73.81
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	76.00
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	82.43
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	81.62
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	80.90
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	80.90
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	83.81
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	82.38
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	84.48
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	78.81
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	81.10
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	78.10
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	82.43
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	77.38
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	78.81
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	62.10
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	65.67
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	71.76
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	73.24
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	74.00
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	78.10
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	79.57
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	80.24
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	79.57
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	82.33
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	79.67
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	82.33
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	80.38
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	82.43
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	78.24
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	82.38
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	78.95
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	83.90
