params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	65.24
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	60.48
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	89.05
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	81.43
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	87.62
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	84.76
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	88.57
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	87.14
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	90.00
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	90.00
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	89.52
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	87.62
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	89.05
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	85.71
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	86.19
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	85.71
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	90.48
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	84.29
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	65.24
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	61.90
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	89.05
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	78.10
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	87.62
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	82.86
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	86.67
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	85.71
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	89.05
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	90.95
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	88.10
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	89.52
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	87.14
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	86.67
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	86.19
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	89.05
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	88.10
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	87.14
