params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	71.12
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	43.64
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	62.52
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	65.00
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	61.64
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	59.50
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	58.71
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	64.48
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	60.64
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	71.62
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	58.24
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	65.93
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	58.67
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	59.74
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	57.29
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	61.95
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	58.19
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	70.69
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	71.12
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	53.98
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	65.86
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	60.14
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	65.00
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	68.07
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	62.07
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	65.83
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	62.07
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	62.57
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	61.55
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	66.38
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	58.14
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	67.38
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	63.48
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	56.29
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	60.57
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	55.40
