params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	61.96
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	60.75
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	84.41
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	76.57
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	88.30
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	84.90
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	86.47
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	92.22
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	87.61
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	89.31
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	87.06
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	90.49
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	86.50
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	91.63
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	86.50
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	89.38
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	88.17
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	89.93
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	58.40
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	57.84
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	90.00
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	81.11
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	89.87
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	84.97
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	90.98
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	91.63
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	90.42
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	88.33
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	87.61
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	92.78
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	90.98
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	91.60
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	90.42
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	89.41
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	90.42
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	90.52
