params	mean_test_score
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'best'}	66.33
{'criterion': 'gini', 'max_depth': 1, 'splitter': 'random'}	66.33
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'best'}	80.44
{'criterion': 'gini', 'max_depth': 2, 'splitter': 'random'}	80.44
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}	91.33
{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}	90.22
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}	93.44
{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}	93.44
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}	94.56
{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}	93.44
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}	97.78
{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}	97.78
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}	97.78
{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}	97.78
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}	97.78
{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}	97.78
{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}	97.78
{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}	97.78
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'best'}	66.33
{'criterion': 'entropy', 'max_depth': 1, 'splitter': 'random'}	66.33
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'best'}	80.44
{'criterion': 'entropy', 'max_depth': 2, 'splitter': 'random'}	80.44
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}	90.22
{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}	91.33
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}	93.44
{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}	93.44
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}	93.44
{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}	93.44
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}	95.56
{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}	95.56
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}	97.78
{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}	97.78
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}	97.78
{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}	97.78
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}	97.78
{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}	97.78
